group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
B1,H,0.45-0.50,416,47.35104551610251,44.71153846153847,-2.639507054564044,40.003698210655095,49.51615880208494,False
B1,H,0.50-0.55,375,52.41428338246252,55.2,2.7857166175374815,50.13932140708434,60.15521858007654,False
B1,H,0.55-0.60,330,57.52519977763244,62.121212121212125,4.59601234357968,56.77626195174463,67.18719856366147,False
B1,H,0.60-0.65,269,62.26096359541224,57.62081784386617,-4.6401457515460764,51.64890242203673,63.37813157864352,False
B1,H,0.65-0.70,225,67.44091229882848,74.22222222222223,6.781309923393741,68.1337040767907,79.49749584490185,True
B1,H,0.70-0.75,158,72.25080683225221,80.37974683544303,8.12894000319082,73.49789767212577,85.81936068419299,True
B1,H,0.75-0.80,98,77.32707534624333,81.63265306122449,4.3055777149811565,72.8248226304025,88.05403237580323,False
B1,H,0.80-1.00,16,82.42741967328087,87.5,5.072580326719134,63.97666856325173,96.50232506629428,False
BRA,H,0.30-0.35,553,32.59662563287529,35.44303797468354,2.8464123418082576,31.56911667307042,39.51781361374723,False
BRA,H,0.35-0.40,697,37.63859530919249,39.45480631276901,1.8162110035765178,35.893585943537154,43.13163173760507,False
BRA,H,0.40-0.45,759,42.429993799554644,45.718050065876156,3.28805626632151,42.204376555896836,49.274850586408974,False
BRA,H,0.45-0.50,760,47.45112229033019,50.6578947368421,3.2067724465119127,47.10900822742693,54.20016372654886,False
BRA,H,0.50-0.55,646,52.546331301357554,55.10835913312694,2.5620278317693868,51.253813181552886,58.902507989637144,False
BRA,H,0.55-0.60,639,57.399293918548096,58.37245696400626,0.9731630454581586,54.5114502576593,62.13339662219416,False
BRA,H,0.60-0.65,440,62.31624111280075,64.31818181818181,2.0019407053810667,59.73563508673998,68.65287108302869,False
BRA,H,0.65-0.70,276,67.30299556161843,70.65217391304348,3.349178351425053,65.02593877544408,75.7113926291791,False
BRA,H,0.70-0.75,141,71.87151764078415,75.88652482269504,4.015007181910879,68.19957944474541,82.20030567113291,False
BRA,H,0.75-0.80,53,77.05128489915049,84.90566037735849,7.854375478208009,72.94549545634045,92.14767574221834,False
BRA,H,0.80-1.00,11,82.12505132511144,90.9090909090909,8.784039583979464,62.26353745137963,98.3768247737174,False
CHN,H,0.30-0.35,291,32.414405522280376,33.33333333333333,0.9189278110529553,28.16520303725613,38.93577592907698,False
CHN,H,0.35-0.40,293,37.46511771193652,37.54266211604095,0.07754440410443486,32.19283595780277,43.21492360150428,False
CHN,H,0.40-0.45,316,42.39719376233959,39.24050632911392,-3.156687433225669,34.01683256520912,44.722643475431,False
CHN,H,0.45-0.50,248,47.380727437922076,50.806451612903224,3.4257241749811485,44.61958015967842,56.96871978759002,False
CHN,H,0.50-0.55,217,52.468887634304416,52.53456221198156,0.06567457767714391,45.9042462777152,59.076699341226146,False
CHN,H,0.55-0.60,249,57.393887263592866,59.83935742971887,2.445470166126007,53.64538784526458,65.73433447890993,False
CHN,H,0.60-0.65,176,62.51087557526772,64.20454545454545,1.6936698792777372,56.88794701336421,70.91429673891558,False
CHN,H,0.65-0.70,171,67.50214256874078,73.68421052631578,6.18206795757501,66.61587969740224,79.71176772746689,False
CHN,H,0.70-0.75,108,72.40222157401115,78.70370370370371,6.301482129692559,70.06639174764425,85.36915280822762,False
CHN,H,0.75-0.80,99,77.24788215679096,82.82828282828282,5.580400671491869,74.21056528666338,88.99342998373302,False
CHN,H,0.80-1.00,105,85.22410639995289,89.52380952380953,4.299703123856647,82.20863332710213,94.04897405830933,False
D1,H,0.30-0.35,424,32.65551524684889,30.18867924528302,-2.4668360015658752,26.01282688497214,34.720304255150744,False
D1,H,0.35-0.40,573,37.59471428334138,36.82373472949389,-0.7709795538474951,32.97438374338215,40.848586028562174,False
D1,H,0.40-0.45,556,42.322319868703076,40.647482014388494,-1.674837854314587,36.6424128339766,44.78090404708406,False
D1,H,0.45-0.50,528,47.30099755410331,46.02272727272727,-1.2782702813760427,41.81535253463318,50.28755930979568,False
D1,H,0.50-0.55,386,52.54689486605909,52.07253886010362,-0.47435600595546745,47.09290834660191,57.01132270518937,False
D1,H,0.55-0.60,322,57.26320063301299,61.80124223602485,4.538041603011855,56.38462320655952,66.9395932225275,False
D1,H,0.60-0.65,252,62.52964406431859,61.111111111111114,-1.4185329532074742,54.96824323292837,66.92030030338474,False
D1,H,0.65-0.70,201,67.36002144835744,71.14427860696517,3.784257158607729,64.5302069003135,76.96527058082314,False
D1,H,0.70-0.75,144,72.20229756719758,72.91666666666666,0.714369099469081,65.1330297136616,79.50934428661976,False
D1,H,0.75-0.80,127,77.49653065416985,81.10236220472441,3.6058315505545613,73.41914043012086,86.95921018619688,False
D1,H,0.80-1.00,165,84.6049331282677,81.81818181818183,-2.7867513100858776,75.23154781778167,86.95691758410982,False
D2,H,0.30-0.35,552,32.664137345458144,30.434782608695656,-2.22935473676249,26.7423481219153,34.39766011064593,False
D2,H,0.35-0.40,828,37.719561695544215,38.405797101449274,0.6862354059050557,35.153659519874964,41.765023075465294,False
D2,H,0.40-0.45,901,42.39847448550321,43.5072142064373,1.1087397209340877,40.3043321376758,46.76522788255317,False
D2,H,0.45-0.50,691,47.34792919297488,45.151953690303905,-2.1959755026709713,41.478402092108766,48.87911248387517,False
